Especie,Categoria de Dieta,Dentro de agua,Sobre el agua,Piso,Sotobosque,Medio,Dosel,Aéreo,Masa Promedio
Thamnophilus doliatus,Invertebrados,0,0,30,30,40,0,0,27.40
Thamnophilus murinus,Invertebrados,0,0,0,10,90,0,0,17.58
Thamnophilus nigrocinereus,Invertebrados,0,0,30,40,30,0,0,28.30
Thamnophilus punctatus,Invertebrados,0,0,0,20,80,0,0,19.42
Thamnophilus aethiops,Invertebrados,0,0,20,40,40,0,0,24.60
Thamnophilus amazonicus,Invertebrados,0,0,0,10,90,0,0,17.78
Neoctantes niger,Invertebrados,0,0,0,30,70,0,0,30.50
Thamnomanes ardesiacus,Invertebrados,0,0,0,30,70,0,0,17.93
Isleria hauxwelli,Invertebrados,0,0,40,40,20,0,0,10.68
Myrmotherula brachyura,Invertebrados,0,0,0,0,100,0,0,6.40
Myrmotherula ignota,Invertebrados,0,0,0,0,70,30,0,6.95
Myrmotherula multostriata,Invertebrados,0,0,0,20,80,0,0,8.00
Myrmotherula cherriei,Invertebrados,0,0,0,50,50,0,0,8.11
Myrmotherula axillaris,Invertebrados,0,0,0,20,80,0,0,8.23
Myrmotherula menetriesii,Invertebrados,0,0,0,0,100,0,0,8.10
Hypocnemis flavescens,Invertebrados,0,0,30,40,30,0,0,12.15
Cercomacroides tyrannina,Invertebrados,0,0,40,40,20,0,0,16.36
Cercomacra cinerascens,Invertebrados,0,0,0,0,100,0,0,14.30
Myrmoborus myotherinus,Invertebrados,0,0,50,50,0,0,0,18.72
Hypocnemoides melanopogon,Invertebrados,0,0,50,50,0,0,0,12.99
Sclateria naevia,Invertebrados,0,0,60,40,0,0,0,22.69
Akletos melanoceps,Invertebrados,0,0,40,40,20,0,0,38.50
Myrmophylax atrothorax,Invertebrados,0,0,60,40,0,0,0,16.10
Gymnopithys leucaspis,Invertebrados,0,0,60,40,0,0,0,29.30
Hylophylax naevius,Invertebrados,0,0,0,80,20,0,0,12.94
Hylophylax punctulatus,Invertebrados,0,0,40,40,20,0,0,12.03
Willisornis poecilinotus,Invertebrados,0,0,60,40,0,0,0,17.79
Phlegopsis nigromaculata,Invertebrados,0,0,60,40,0,0,0,46.44
Myrmothera campanisona,Invertebrados,0,0,100,0,0,0,0,43.33
Dendrocincla merula,Invertebrados,0,0,40,40,20,0,0,47.43
Dendrocincla fuliginosa,Invertebrados,0,0,33,33,33,0,0,38.77
Glyphorynchus spirurus,Invertebrados,0,0,0,0,40,60,0,14.17
Dendrexetastes rufigula,Invertebrados,0,0,0,0,50,50,0,69.60
Nasica longirostris,Invertebrados,0,0,0,0,50,50,0,88.05
Dendrocolaptes certhia,Invertebrados,0,0,0,10,90,0,0,71.35
Dendrocolaptes picumnus,Invertebrados,0,0,40,40,20,0,0,70.25
Xiphocolaptes promeropirhynchus,Invertebrados,0,0,0,40,60,0,0,107.37
Xiphorhynchus obsoletus,Invertebrados,0,0,0,40,60,0,0,30.78
Xiphorhynchus ocellatus,Invertebrados,0,0,0,20,80,0,0,37.85
Xiphorhynchus elegans,Invertebrados,0,0,0,30,60,10,0,39.75
Xiphorhynchus guttatus,Invertebrados,0,0,0,10,90,0,0,53.74
Dendroplex picus,Invertebrados,0,0,0,20,80,0,0,39.88
Xenops tenuirostris,Invertebrados,0,0,0,0,40,60,0,9.70
Philydor erythrocercum,Invertebrados,0,0,0,0,50,50,0,25.27
Ancistrops strigilatus,Invertebrados,0,0,50,50,0,0,0,35.90
Automolus ochrolaemus,Invertebrados,0,0,10,70,20,0,0,38.43
Synallaxis gujanensis,Invertebrados,0,0,50,50,0,0,0,18.10
Synallaxis albescens,Invertebrados,0,0,30,70,0,0,0,12.71
Xenopipo atronitens,Frutas/Néctar,0,0,0,50,50,0,0,14.83
Lepidothrix coronata,Frutas/Néctar,0,0,0,50,50,0,0,8.71
Manacus manacus,Frutas/Néctar,0,0,0,80,20,0,0,16.50
Pipra filicauda,Frutas/Néctar,0,0,0,50,50,0,0,14.78
Machaeropterus striolatus,Frutas/Néctar,0,0,0,50,50,0,0,9.62
Ceratopipra erythrocephala,Frutas/Néctar,0,0,0,50,50,0,0,13.04
Rupicola rupicola,Frutas/Néctar,0,0,30,30,40,0,0,191.53
Querula purpurata,Omnívoro,0,0,0,50,50,0,0,109.41
Cephalopterus ornatus,Omnívoro,0,0,0,50,50,0,0,602.50
Cotinga cayana,Frutas/Néctar,0,0,0,30,50,20,0,66.90
Lipaugus vociferans,Omnívoro,0,0,0,50,50,0,0,77.92
Gymnoderus foetidus,Frutas/Néctar,0,0,0,50,50,0,0,275.49
Tityra inquisitor,Frutas/Néctar,0,0,0,0,100,0,0,41.55
Tityra cayana,Frutas/Néctar,0,0,0,50,50,0,0,67.80
Schiffornis major,Omnívoro,0,0,0,100,0,0,0,31.00
Laniocera hypopyrra,Invertebrados,0,0,0,50,50,0,0,48.00
Iodopleura isabellae,Invertebrados,0,0,0,0,80,20,0,19.50
Pachyramphus cinnamomeus,Invertebrados,0,0,0,0,100,0,0,20.23
Pachyramphus castaneus,Invertebrados,0,0,0,0,100,0,0,19.50
Pachyramphus polychopterus,Omnívoro,0,0,0,0,100,0,0,19.86
Pachyramphus marginatus,Omnívoro,0,0,0,0,100,0,0,18.40
Pachyramphus minor,Omnívoro,0,0,0,50,50,0,0,36.60
Onychorhynchus coronatus,Invertebrados,0,0,0,30,70,0,0,16.22
Piprites chloris,Invertebrados,0,0,0,0,20,80,0,17.50
Corythopis torquatus,Invertebrados,0,0,80,20,0,0,0,13.93
Mionectes oleagineus,Frutas/Néctar,0,0,0,50,50,0,0,10.68
Leptopogon amaurocephalus,Invertebrados,0,0,0,50,50,0,0,11.64
Tolmomyias sulphurescens,Invertebrados,0,0,0,30,70,0,0,15.11
Tolmomyias traylori,Invertebrados,0,0,0,50,50,0,0,12.50
Tolmomyias assimilis,Invertebrados,0,0,0,10,90,0,0,15.43
Tolmomyias poliocephalus,Invertebrados,0,0,0,0,50,50,0,10.70
Tolmomyias flaviventris,Invertebrados,0,0,0,0,20,80,0,12.10
Myiornis ecaudatus,Invertebrados,0,0,0,0,0,100,0,5.25
Hemitriccus zosterops,Invertebrados,0,0,0,40,60,0,0,8.72
Hemitriccus striaticollis,Invertebrados,0,0,0,0,100,0,0,8.95
Poecilotriccus latirostris,Invertebrados,0,0,0,100,0,0,0,6.55
Poecilotriccus sylvia,Invertebrados,0,0,0,33,33,33,0,7.45
Todirostrum cinereum,Invertebrados,0,0,0,33,33,33,0,6.67
Todirostrum chrysocrotaphum,Invertebrados,0,0,0,0,20,80,0,7.00
Hirundinea ferruginea,Invertebrados,0,0,0,33,33,33,0,30.30
Zimmerius gracilipes,Invertebrados,0,0,0,0,0,100,0,7.82
Camptostoma obsoletum,Invertebrados,0,0,0,0,80,20,0,8.09
Elaenia flavogaster,Omnívoro,0,0,0,20,40,30,10,23.94
Elaenia spectabilis,Omnívoro,0,0,0,0,0,100,0,27.30
Elaenia parvirostris,Invertebrados,0,0,0,33,33,33,0,14.73
Elaenia chiriquensis,Omnívoro,0,0,0,40,60,0,0,15.64
Tyrannulus elatus,Invertebrados,0,0,0,0,0,100,0,7.30
Myiopagis gaimardii,Invertebrados,0,0,0,0,0,100,0,12.13
Myiopagis flavivertex,Invertebrados,0,0,0,20,30,50,0,11.84
Phaeomyias murina,Invertebrados,0,0,0,33,33,33,0,10.58
Attila cinnamomeus,Omnívoro,0,0,0,20,60,20,0,38.80
Attila spadiceus,Omnívoro,0,0,10,10,40,40,0,37.28
Legatus leucophaius,Frutas/Néctar,0,0,0,0,20,80,0,21.77
Ramphotrigon ruficauda,Invertebrados,0,0,0,50,50,0,0,17.87
Pitangus sulphuratus,Omnívoro,0,0,50,40,10,0,0,59.92
Pitangus lictor,Invertebrados,0,0,10,70,20,0,0,24.49
Machetornis rixosa,Invertebrados,0,0,100,0,0,0,0,33.50
Tyrannopsis sulphurea,Invertebrados,0,0,0,33,33,33,0,55.35
Megarynchus pitangua,Invertebrados,0,0,0,10,50,40,0,64.29
Myiodynastes maculatus,Omnívoro,0,0,0,0,100,0,0,43.48
Myiozetetes cayanensis,Invertebrados,0,0,50,30,20,0,0,25.73
Myiozetetes similis,Omnívoro,0,0,20,20,40,20,0,26.32
Myiozetetes granadensis,Invertebrados,0,0,0,50,50,0,0,26.95
Conopias parvus,Invertebrados,0,0,0,0,30,70,0,20.00
Empidonomus varius,Invertebrados,0,0,0,30,70,0,0,27.10
Tyrannus melancholicus,Invertebrados,0,0,0,0,50,50,0,38.58
Tyrannus savana,Invertebrados,0,0,50,50,0,0,0,30.77
Tyrannus tyrannus,Invertebrados,0,0,0,80,20,0,0,38.06
Rhytipterna simplex,Invertebrados,0,0,0,50,50,0,0,31.82
Sirystes albocinereus,Invertebrados,0,0,0,0,0,100,0,32.30
Myiarchus tuberculifer,Invertebrados,0,0,0,33,33,33,0,18.24
Myiarchus swainsoni,Invertebrados,0,0,0,100,0,0,0,22.80
Myiarchus ferox,Omnívoro,0,0,0,80,20,0,0,26.06
Myiarchus tyrannulus,Invertebrados,0,0,20,80,0,0,0,32.05
Sublegatus arenarum,Invertebrados,0,0,0,50,50,0,0,12.48
Sublegatus obscurior,Invertebrados,0,0,0,50,50,0,0,18.00
Sublegatus modestus,Invertebrados,0,0,0,50,50,0,0,14.00
Fluvicola pica,Invertebrados,0,0,100,0,0,0,0,12.23
Arundinicola leucocephala,Invertebrados,0,0,50,50,0,0,0,13.70
Knipolegus poecilocercus,Invertebrados,0,0,100,0,0,0,0,13.75
